subj,RT,cond,type,confresponse
103,0.08150000125169754,faces,1,99
103,0.8335999846458435,faces,2,1
103,2.7656002044677734,faces,1,1
103,7.202000141143799,faces,1,1
103,0.3517000079154968,faces,1,4
103,5.673900127410889,faces,1,1
103,0.580299973487854,faces,2,1
103,1.8003000020980835,faces,1,4
103,0.5645999908447266,faces,1,1
103,0.780299961566925,faces,2,1
103,1.0128999948501587,faces,1,4
103,3.712100028991699,words,1,1
103,1.3068000078201294,words,2,4
103,2.86080002784729,words,1,1
103,1.2321999073028564,words,1,4
103,2.8359999656677246,words,1,4
103,1.75,words,2,1
103,3.6683998107910156,words,2,4
103,4.816799640655518,words,2,1
103,3.4247000217437744,words,1,1
103,1.6785000562667847,words,2,1
103,0.41670000553131104,words,1,4
103,3.910399913787842,words,2,1
103,2.3098998069763184,words,1,4
103,3.0963001251220703,words,1,1
103,2.4289000034332275,words,2,4
103,0.5712000131607056,words,1,1
103,0.882599949836731,words,1,4
103,3.2060999870300293,words,1,1
103,1.2150999307632446,words,1,4
103,0.2697000205516815,words,1,99
103,0.2903999984264374,words,2,4
103,0.8504999876022339,words,2,1
103,0.5667000412940979,words,2,1
103,1.2218000888824463,words,1,4
103,1.2418999671936035,words,1,4
103,1.1729000806808472,words,2,1
103,0.9212000370025635,words,1,4
103,0.9834000468254089,words,1,1
103,2.421600103378296,words,1,4
103,1.6575000286102295,words,2,4
103,1.63100004196167,words,2,4
103,0.8952999711036682,words,1,1
103,1.2533000707626343,words,1,1
103,1.1593999862670898,words,1,1
103,0.9501000046730042,words,1,1
103,0.7764999866485596,words,2,4
103,1.0595999956130981,words,2,4
103,2.1071999073028564,words,2,1
103,0.5370000004768372,words,2,1
103,0.8859000205993652,words,1,4
103,0.4449000060558319,words,2,4
103,3.2258999347686768,words,2,1
103,0.5091000199317932,words,2,4
103,2.0143001079559326,words,2,1
103,0.313400000333786,words,2,4
103,0.2854999899864197,words,2,4
103,1.5920000076293945,words,2,4
103,1.0579999685287476,words,1,1
103,nan,faces,2,99
103,nan,faces,2,99
103,nan,faces,2,99
103,nan,faces,1,99
103,nan,faces,2,99
103,nan,faces,2,99
103,2.896899938583374,faces,2,1
103,1.1378999948501587,faces,2,1
103,1.4668999910354614,faces,1,4
103,1.551900029182434,faces,1,4
103,1.2756999731063843,faces,2,1
103,1.0145000219345093,faces,2,1
103,1.3366999626159668,faces,1,4
103,0.8192000389099121,faces,1,4
103,1.9081000089645386,faces,2,1
103,0.8147000074386597,faces,2,1
103,1.7136999368667603,faces,1,4
103,0.7626000046730042,faces,1,4
103,5.780900001525879,faces,1,1
103,2.7067999839782715,faces,2,1
103,3.134999990463257,faces,1,4
103,0.6567000150680542,faces,1,4
103,1.458899974822998,faces,2,1
103,1.3894000053405762,faces,1,4
103,0.8827999830245972,faces,2,4
103,0.40389999747276306,faces,2,1
103,1.0281000137329102,faces,1,1
103,4.075300216674805,faces,1,4
103,0.7904000282287598,faces,2,4
103,1.3579000234603882,faces,1,1
103,0.5094000101089478,faces,2,1
103,4.133700370788574,faces,1,4
